Past,EVT,ACRES
Past Conifer,Agricultural,506767.392
Past Conifer,Conifer,1907704.83
Past Conifer,Conifer-Hardwood,249073.122
Past Conifer,Developed,480927.924
Past Conifer,Exotics,173927.01
Past Conifer,Grassland,2070.372
Past Conifer,Hardwood,2143013.73
Past Conifer,Riparian,597951.45
Past Conifer,Shrubland,60.828
Past Grassland,Agricultural,300799.788
Past Grassland,Conifer,5970.69
Past Grassland,Conifer-Hardwood,11322.222
Past Grassland,Developed,362153.484
Past Grassland,Exotics,19157.49
Past Grassland,Grassland,2098.788
Past Grassland,Hardwood,45287.334
Past Grassland,Riparian,45648.306
Past Hardwood,Agricultural,17087747.37
Past Hardwood,Conifer,1492341.054
Past Hardwood,Conifer-Hardwood,1869700.872
Past Hardwood,Developed,7210244.982
Past Hardwood,Exotics,791359.404
Past Hardwood,Grassland,12176.922
Past Hardwood,Hardwood,11515472.11
Past Hardwood,Riparian,1266792.606
Past Hardwood,Shrubland,368.52
Past Hardwood-Conifer,Agricultural,1777270.062
Past Hardwood-Conifer,Conifer,1789247.85
Past Hardwood-Conifer,Conifer-Hardwood,615094.29
Past Hardwood-Conifer,Developed,1056351.924
Past Hardwood-Conifer,Exotics,198129.672
Past Hardwood-Conifer,Grassland,4311.906
Past Hardwood-Conifer,Hardwood,3324032.196
Past Hardwood-Conifer,Riparian,395907.03
Past Hardwood-Conifer,Shrubland,293.262
Past Riparian,Agricultural,2233525.35
Past Riparian,Conifer,991085.034
Past Riparian,Conifer-Hardwood,367007.292
Past Riparian,Developed,890027.526
Past Riparian,Exotics,206710.194
Past Riparian,Grassland,6688.416
Past Riparian,Hardwood,1764823.41
Past Riparian,Riparian,8839708.332
Past Riparian,Shrubland,63.714
Past Savanna,Agricultural,1.332
Past Savanna,Conifer,0.444
Past Savanna,Conifer-Hardwood,0.222
Past Savanna,Developed,9.324
Past Savanna,Exotics,0.222
Past Savanna,Riparian,0.444
Past Shrubland,Agricultural,0.888
Past Shrubland,Conifer,528.582
Past Shrubland,Conifer-Hardwood,6324.336
Past Shrubland,Developed,0.888
Past Shrubland,Exotics,102.12
Past Shrubland,Riparian,0.444
Past Shrubland,Shrubland,618.27
